election,group,estimand,miss,n_pure,thr
ge15,40-49,PN,0.0025722956082464554,119,0.98
ge15,40-49,BN_v,0.012056954758650401,119,0.98
ge15,40-49,PH_v,0.01500886345787189,119,0.98
ge15,40-49,PN_v,0.0,119,0.98
ge15,50-59,turnout,0.0,67,0.98
ge15,50-59,BN,0.024485330125248367,67,0.98
ge15,50-59,PH,0.014697969555208412,67,0.98
ge15,50-59,PN,0.009005532246977005,67,0.98
ge15,50-59,BN_v,0.030909198437684582,67,0.98
ge15,50-59,PH_v,0.01772792901177367,67,0.98
ge15,50-59,PN_v,0.011214676677112095,67,0.98
ge15,60-69,turnout,0.013247386678692963,74,0.98
ge15,60-69,BN,0.0153705173136994,74,0.98
ge15,60-69,PH,0.006787009005171263,74,0.98
ge15,60-69,PN,0.0059805614948488794,74,0.98
ge15,60-69,BN_v,0.013851363486281854,74,0.98
ge15,60-69,PH_v,0.018295448409954007,74,0.98
ge15,60-69,PN_v,0.005719377776066792,74,0.98
jhr_se16,Malay,turnout,0.03190191398185871,402,0.98
jhr_se16,Malay,BN,0.020389240084666027,402,0.98
jhr_se16,Malay,PH,0.009765545602735133,402,0.98
jhr_se16,Malay,PN,0.015784572601751617,402,0.98
jhr_se16,Malay,BN_v,0.0,402,0.98
jhr_se16,Malay,PH_v,0.014766017451326538,402,0.98
jhr_se16,Malay,PN_v,0.015516755950195651,402,0.98
jhr_se16,Chinese,turnout,0.004825110530579324,14,0.98
jhr_se16,Chinese,BN,0.0036987990003107957,14,0.98
jhr_se16,Chinese,PH,0.0,14,0.98
jhr_se16,Chinese,PN,0.0,14,0.98
jhr_se16,Chinese,BN_v,0.00722978243305869,14,0.98
jhr_se16,Chinese,PH_v,0.0,14,0.98
jhr_se16,Chinese,PN_v,0.0,14,0.98
jhr_se16,18-29,turnout,0.00876435659075514,511,0.98
jhr_se16,18-29,BN,0.00833612249200777,511,0.98
jhr_se16,18-29,PH,0.0019854945213422237,511,0.98
jhr_se16,18-29,PN,0.008352396151718223,511,0.98
jhr_se16,18-29,BN_v,0.004040547714234233,511,0.98
jhr_se16,18-29,PH_v,0.006981854175265201,511,0.98
jhr_se16,18-29,PN_v,0.012096791254541758,511,0.98
jhr_se16,30-39,turnout,0.0012088443838937923,206,0.98
jhr_se16,30-39,BN,0.0021959348396285994,206,0.98
jhr_se16,30-39,PH,0.004671057824852665,206,0.98
jhr_se16,30-39,PN,0.006917138306839928,206,0.98
jhr_se16,30-39,BN_v,0.0012112986705208328,206,0.98
jhr_se16,30-39,PH_v,0.00783367220696457,206,0.98
jhr_se16,30-39,PN_v,0.0105706765758568,206,0.98
jhr_se16,40-49,turnout,0.008842975576520806,123,0.98
jhr_se16,40-49,BN,0.0032783369330310896,123,0.98
jhr_se16,40-49,PH,0.012734401300507792,123,0.98
jhr_se16,40-49,PN,0.009061351060929757,123,0.98
jhr_se16,40-49,BN_v,0.0016404360260010575,123,0.98
jhr_se16,40-49,PH_v,0.01422367731905122,123,0.98
jhr_se16,40-49,PN_v,0.014081093787478509,123,0.98
jhr_se16,50-59,turnout,0.004020858110710734,77,0.98
jhr_se16,50-59,BN,0.016958348832876002,77,0.98
jhr_se16,50-59,PH,0.011964407406433064,77,0.98
jhr_se16,50-59,PN,0.0023758779806419238,77,0.98
jhr_se16,50-59,BN_v,0.02556717153509469,77,0.98
jhr_se16,50-59,PH_v,0.01320361456046909,77,0.98
jhr_se16,50-59,PN_v,0.0034716492850321995,77,0.98
jhr_se16,60-69,turnout,0.018508126517967405,64,0.98
jhr_se16,60-69,BN,0.02668346098157648,64,0.98
jhr_se16,60-69,PH,0.005374896224521697,64,0.98
jhr_se16,60-69,PN,0.008845305031858165,64,0.98
jhr_se16,60-69,BN_v,0.024986720706882015,64,0.98
jhr_se16,60-69,PH_v,0.02015925872422608,64,0.98
jhr_se16,60-69,PN_v,0.010866600657656642,64,0.98
jhr_se16,70+,turnout,0.08445468298873637,16,0.98
jhr_se16,70+,BN,0.02529834677585402,16,0.98
jhr_se16,70+,PH,0.09967210461217446,16,0.98
jhr_se16,70+,PN,0.0029890306184913147,16,0.98
jhr_se16,70+,BN_v,0.07429003544754184,16,0.98
jhr_se16,70+,PH_v,0.06158139277201291,16,0.98
jhr_se16,70+,PN_v,0.00609960222195539,16,0.98
