dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,40-49,turnout,M2_logit,0.5196559266639229,0.012250599328289268,0.4963600418428931,0.5436922542388882,0.2500841774612947,0.7892457047771524,False,0.0
age,40-49,turnout,M3_probit,0.5196559915915453,,,,0.2500841774612947,0.7892457047771524,False,0.0
age,40-49,turnout,M2ml_logit_noprior,0.5196559299218514,,,,0.2500841774612947,0.7892457047771524,False,0.0
age,40-49,turnout,M4_context,0.515084963001033,,,,0.2500841774612947,0.7892457047771524,False,0.0
age,40-49,turnout,M5_within_seat,0.5190524572746289,0.01124376127320662,0.49780756563130973,0.5403682369558861,0.2500841774612947,0.7892457047771524,False,0.0
age,50-59,turnout,M1_lpm,0.6250282905907436,0.01035242937352576,0.6052664172114929,0.6444408402389142,0.3064944524654986,0.8702722389146863,False,0.0
age,50-59,turnout,M2_logit,0.624598954441997,0.010264195539584006,0.6049897890817965,0.6436059495679913,0.3064944524654986,0.8702722389146863,False,0.0
age,50-59,turnout,M3_probit,0.6245990183357095,,,,0.3064944524654986,0.8702722389146863,False,0.0
age,50-59,turnout,M2ml_logit_noprior,0.6245991543164765,,,,0.3064944524654986,0.8702722389146863,False,0.0
age,50-59,turnout,M4_context,0.6169198757910302,,,,0.3064944524654986,0.8702722389146863,False,0.0
age,50-59,turnout,M5_within_seat,0.6263477604217477,0.010908745709895048,0.6049591189046379,0.6454280292143538,0.3064944524654986,0.8702722389146863,False,0.0
age,60-69,turnout,M1_lpm,0.6557652723040341,0.008700539085719832,0.6396865238394218,0.6726942073911452,0.2664989719128683,0.9010948867016668,False,0.0
age,60-69,turnout,M2_logit,0.6542597687224414,0.008564455631031797,0.6386224605943985,0.6709122932473126,0.2664989719128683,0.9010948867016668,False,0.0
age,60-69,turnout,M3_probit,0.6542602191890259,,,,0.2664989719128683,0.9010948867016668,False,0.0
age,60-69,turnout,M2ml_logit_noprior,0.6542605598106531,,,,0.2664989719128683,0.9010948867016668,False,0.0
age,60-69,turnout,M4_context,0.6603393305069942,,,,0.2664989719128683,0.9010948867016668,False,0.0
age,60-69,turnout,M5_within_seat,0.6564308359002301,0.009166487281806439,0.6387753370339225,0.6757690624295657,0.2664989719128683,0.9010948867016668,False,0.0
age,70+,turnout,M1_lpm,0.46254021713672744,0.012534215864417372,0.43941062130555075,0.4872042239595447,0.1991331555932677,0.7989817711974313,False,0.0
age,70+,turnout,M2_logit,0.4636077363333432,0.012679420655030492,0.4402030040257438,0.4883683498674097,0.1991331555932677,0.7989817711974313,False,0.0
age,70+,turnout,M3_probit,0.46360745763294403,,,,0.1991331555932677,0.7989817711974313,False,0.0
age,70+,turnout,M2ml_logit_noprior,0.4636071343825366,,,,0.1991331555932677,0.7989817711974313,False,0.0
age,70+,turnout,M4_context,0.441750776112558,,,,0.1991331555932677,0.7989817711974313,False,0.0
age,70+,turnout,M5_within_seat,0.4599010223969466,0.011513679822612961,0.4375513771888225,0.48312984954163785,0.1991331555932677,0.7989817711974313,False,0.0
age,18-29,BN,M1_lpm,0.21295230284385566,0.010772857393226403,0.19322377630458035,0.23451679698808872,0.1315417610686302,0.29856243509865,False,0.0
age,18-29,BN,M2_logit,0.21304934328465172,0.010818606537001297,0.19328314340084257,0.2346601764662237,0.1315417610686302,0.29856243509865,False,0.0
